Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,881.5,897.75,880.75,894.75,8393,0.0,0.0
2019-01-03 00:00:00-05:00,893.5,900.75,892.25,900.25,5149,0.0,0.0
2019-01-04 00:00:00-05:00,898.25,910.0,898.25,909.5,6571,0.0,0.0
2019-01-07 00:00:00-05:00,909.5,915.75,909.5,912.25,4350,0.0,0.0
2019-01-08 00:00:00-05:00,911.75,912.5,903.0,906.25,3286,0.0,0.0
2019-01-09 00:00:00-05:00,905.5,913.75,905.25,911.5,2759,0.0,0.0
2019-01-10 00:00:00-05:00,908.0,911.25,895.0,895.5,1094,0.0,0.0
2019-01-11 00:00:00-05:00,897.25,901.25,897.25,899.25,287,0.0,0.0
2019-01-14 00:00:00-05:00,895.25,895.25,890.75,890.75,75988,0.0,0.0
2019-01-15 00:00:00-05:00,904.25,908.0,892.5,893.25,107769,0.0,0.0
2019-01-16 00:00:00-05:00,895.5,900.0,891.25,894.5,87043,0.0,0.0
2019-01-17 00:00:00-05:00,895.5,912.0,894.25,907.75,103132,0.0,0.0
2019-01-18 00:00:00-05:00,908.25,920.25,905.75,916.75,112894,0.0,0.0
2019-01-22 00:00:00-05:00,916.5,919.5,899.5,909.25,126766,0.0,0.0
2019-01-23 00:00:00-05:00,911.0,918.25,910.5,915.0,72124,0.0,0.0
2019-01-24 00:00:00-05:00,915.0,919.5,909.25,916.0,85832,0.0,0.0
2019-01-25 00:00:00-05:00,915.75,926.25,913.0,925.25,103755,0.0,0.0
2019-01-28 00:00:00-05:00,923.5,925.0,915.75,923.25,69622,0.0,0.0
2019-01-29 00:00:00-05:00,921.75,922.25,916.75,919.0,86953,0.0,0.0
2019-01-30 00:00:00-05:00,919.0,924.0,917.25,921.0,68239,0.0,0.0
2019-01-31 00:00:00-05:00,919.5,926.75,913.25,915.25,98081,0.0,0.0
2019-02-01 00:00:00-05:00,921.0,931.25,917.0,917.75,168136,0.0,0.0
2019-02-04 00:00:00-05:00,917.0,923.75,915.5,918.5,76590,0.0,0.0
2019-02-05 00:00:00-05:00,917.75,921.0,913.5,920.25,83109,0.0,0.0
2019-02-06 00:00:00-05:00,920.0,922.5,917.5,921.75,98810,0.0,0.0
2019-02-07 00:00:00-05:00,919.5,921.5,910.5,913.25,120903,0.0,0.0
2019-02-08 00:00:00-05:00,913.0,918.0,908.0,914.5,134648,0.0,0.0
2019-02-11 00:00:00-05:00,914.75,918.75,903.5,905.0,124095,0.0,0.0
2019-02-12 00:00:00-05:00,905.5,919.75,905.5,917.5,126536,0.0,0.0
2019-02-13 00:00:00-05:00,916.75,920.0,913.75,916.5,87709,0.0,0.0
2019-02-14 00:00:00-05:00,915.75,918.25,903.0,903.5,111538,0.0,0.0
2019-02-15 00:00:00-05:00,905.25,909.75,901.25,907.5,113607,0.0,0.0
2019-02-19 00:00:00-05:00,907.25,911.25,894.75,900.75,119260,0.0,0.0
2019-02-20 00:00:00-05:00,902.0,905.0,893.25,902.5,132174,0.0,0.0
2019-02-21 00:00:00-05:00,902.75,916.75,900.0,911.0,169207,0.0,0.0
2019-02-22 00:00:00-05:00,910.25,914.75,907.5,910.25,127436,0.0,0.0
2019-02-25 00:00:00-05:00,918.0,921.0,910.25,911.75,108509,0.0,0.0
2019-02-26 00:00:00-05:00,910.0,910.75,899.0,903.75,88696,0.0,0.0
2019-02-27 00:00:00-05:00,903.0,910.0,900.75,903.5,69356,0.0,0.0
2019-02-28 00:00:00-05:00,903.0,905.25,897.0,897.5,13006,0.0,0.0
2019-03-01 00:00:00-05:00,897.25,905.0,888.25,899.25,8373,0.0,0.0
2019-03-04 00:00:00-05:00,901.25,912.25,901.25,903.25,4165,0.0,0.0
2019-03-05 00:00:00-05:00,904.75,904.75,896.75,901.25,3339,0.0,0.0
2019-03-06 00:00:00-05:00,900.5,903.5,889.5,889.75,2100,0.0,0.0
2019-03-07 00:00:00-05:00,892.0,893.75,887.0,890.75,2606,0.0,0.0
2019-03-08 00:00:00-05:00,891.0,891.5,880.0,883.75,1275,0.0,0.0
2019-03-11 00:00:00-04:00,884.5,884.5,877.75,877.75,436,0.0,0.0
2019-03-12 00:00:00-04:00,880.5,885.0,880.25,884.75,237,0.0,0.0
2019-03-13 00:00:00-04:00,882.75,889.25,882.5,889.0,215,0.0,0.0
2019-03-14 00:00:00-04:00,889.5,889.5,889.5,889.5,87983,0.0,0.0
2019-03-15 00:00:00-04:00,899.25,911.0,898.25,909.25,97847,0.0,0.0
2019-03-18 00:00:00-04:00,910.0,911.5,901.75,905.75,68441,0.0,0.0
2019-03-19 00:00:00-04:00,905.5,909.5,900.25,904.0,78731,0.0,0.0
2019-03-20 00:00:00-04:00,902.75,906.5,899.25,906.0,73221,0.0,0.0
2019-03-21 00:00:00-04:00,906.0,912.0,903.5,910.5,79287,0.0,0.0
2019-03-22 00:00:00-04:00,909.75,912.0,903.0,903.75,91931,0.0,0.0
2019-03-25 00:00:00-04:00,904.5,908.25,901.5,906.5,62221,0.0,0.0
2019-03-26 00:00:00-04:00,905.5,907.5,899.5,900.75,64159,0.0,0.0
2019-03-27 00:00:00-04:00,900.25,900.75,886.0,887.5,108413,0.0,0.0
2019-03-28 00:00:00-04:00,888.0,891.75,886.5,889.5,71399,0.0,0.0
2019-03-29 00:00:00-04:00,888.75,892.75,883.0,884.25,96062,0.0,0.0
2019-04-01 00:00:00-04:00,884.0,899.0,883.75,895.5,116288,0.0,0.0
2019-04-02 00:00:00-04:00,895.75,901.25,892.5,900.0,78593,0.0,0.0
2019-04-03 00:00:00-04:00,899.25,903.0,894.75,898.75,63617,0.0,0.0
2019-04-04 00:00:00-04:00,898.25,907.25,897.0,906.5,112219,0.0,0.0
2019-04-05 00:00:00-04:00,904.5,904.75,896.25,899.0,102769,0.0,0.0
2019-04-08 00:00:00-04:00,899.0,903.5,898.0,898.75,113476,0.0,0.0
2019-04-09 00:00:00-04:00,898.25,902.25,894.75,898.75,95488,0.0,0.0
2019-04-10 00:00:00-04:00,898.75,903.75,897.25,902.0,110699,0.0,0.0
2019-04-11 00:00:00-04:00,901.25,904.0,893.5,895.25,98642,0.0,0.0
2019-04-12 00:00:00-04:00,895.0,898.5,893.75,895.25,82118,0.0,0.0
2019-04-15 00:00:00-04:00,895.0,902.0,894.75,898.75,105410,0.0,0.0
2019-04-16 00:00:00-04:00,898.25,899.0,886.25,888.0,115185,0.0,0.0
2019-04-17 00:00:00-04:00,887.75,890.5,878.5,879.0,105530,0.0,0.0
2019-04-18 00:00:00-04:00,878.75,882.0,876.5,880.5,77262,0.0,0.0
2019-04-22 00:00:00-04:00,881.5,883.25,876.25,877.0,80529,0.0,0.0
2019-04-23 00:00:00-04:00,877.0,878.75,860.75,862.0,168391,0.0,0.0
2019-04-24 00:00:00-04:00,862.0,865.25,854.5,855.25,87642,0.0,0.0
2019-04-25 00:00:00-04:00,854.75,862.75,853.5,859.25,124152,0.0,0.0
2019-04-26 00:00:00-04:00,858.5,859.75,852.5,853.75,142904,0.0,0.0
2019-04-29 00:00:00-04:00,854.75,859.5,847.25,847.5,81581,0.0,0.0
2019-04-30 00:00:00-04:00,848.0,851.0,838.5,841.25,11508,0.0,0.0
2019-05-01 00:00:00-04:00,841.0,843.0,831.75,839.5,9763,0.0,0.0
2019-05-02 00:00:00-04:00,840.0,840.5,829.75,830.5,5556,0.0,0.0
2019-05-03 00:00:00-04:00,830.5,832.75,828.75,829.5,3485,0.0,0.0
2019-05-06 00:00:00-04:00,816.5,819.75,804.5,817.5,2686,0.0,0.0
2019-05-07 00:00:00-04:00,815.0,821.75,815.0,817.75,2555,0.0,0.0
2019-05-08 00:00:00-04:00,819.25,820.25,812.75,814.25,1990,0.0,0.0
2019-05-09 00:00:00-04:00,810.0,810.5,795.25,800.25,680,0.0,0.0
2019-05-10 00:00:00-04:00,800.25,804.0,795.25,797.0,712,0.0,0.0
2019-05-13 00:00:00-04:00,790.25,791.0,780.5,791.0,369,0.0,0.0
2019-05-14 00:00:00-04:00,810.0,817.75,810.0,817.75,167862,0.0,0.0
2019-05-15 00:00:00-04:00,832.0,848.25,827.0,835.5,182209,0.0,0.0
2019-05-16 00:00:00-04:00,834.0,845.0,834.0,839.75,106299,0.0,0.0
